Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"kobiety
females",Unnamed: 4,"dotychczas niepracujący
previously not employed",Unnamed: 6,"uprzednio pracujący ogółem
previously working total",Unnamed: 8,"zwolnieni z przyczyn dotyczących zakładów pracy
terninated for company reasons",Unnamed: 10,"bez prawa do zasiłku
without benefit rights",Unnamed: 12,"absolwenci
graduates",Unnamed: 14,"bez kwalifikacji zawodowych
without occupational qualifications
",Unnamed: 16,"pozostający bez pracy dłużej 
niż 1 rok
out of job for period longer then 1 year",Unnamed: 18,Unnamed: 19,Unnamed: 20,"Ogółem
Grand total.1",Unnamed: 22,"Bezrobotni zarejestrowani po raz kolejny
reentrants to
unemployment
rolls",Unnamed: 24,"Ogółem
Grand total.2",Unnamed: 26,"Bezrobotni wyrejestrowani z tytułu podjęcia pracy
Persons removed from unemployment rolls by receiving job",Unnamed: 28,"Zgłoszone w ciągu miesiąca
Declaring during a month",Unnamed: 30,"Zgłoszone w ciągu miesiąca w sektorze prywatnym
Declaring during a month in private sector",Unnamed: 32,"Stan na koniec miesiąca
end of month",Unnamed: 34
,tysiące    thousand,,,,,,,,,,,,,,,,,,%   ,,tysiące    thousand,,,,,,,,,,,,,
2010 M01,2052.5,,1024.9,,420.7,,1631.8,,72.8,,1633.3,,132.6,,555.9,,.,,12.9,,316.8,,256.3,,157.3,,64.7,,60.4,,39.1,,30.8,
2010 M02,2101.5,,1033.9,,422.1,,1679.5,,74.4,,1674.7,,132.9,,570.5,,.,,13.2,,238.8,,188.8,,189.7,,70.1,,82.0,,49.4,,42.6,
2010 M03,2076.7,,1016.0,,408.6,,1668.1,,73.8,,1663.1,,125.9,,566.4,,550.4,,13,,242.8,,193.7,,267.6,,99.6,,117.9,,73.6,,55.6,
2010 M04,1973.8,,977.9,,382.6,,1591.2,,71.5,,1588.3,,66.0,,536.4,,.,,12.4,,203.1,,166.4,,306.1,,129.8,,108.7,,71.7,,53.0,
2010 M05,1907.9,,960.0,,384.7,,1522.3,,69.0,,1545.0,,86.1,,520.0,,.,,12.1,,213.5,,154.1,,279.4,,113.6,,89.2,,65.6,,50.9,
2010 M06,1843.9,,941.8,,376.6,,1467.4,,67.3,,1496.1,,66.0,,503.2,,529.6,,11.7,,213.2,,160.2,,277.2,,104.9,,90.8,,66.4,,51.1,
2010 M07,1812.8,,944.8,,376.1,,1436.7,,65.8,,1486.8,,74.4,,486.4,,.,,11.5,,242.4,,183.6,,273.5,,104.0,,90.4,,68.4,,48.1,
2010 M08,1800.2,,953.0,,380.4,,1419.8,,63.1,,1489.1,,88.6,,479.1,,.,,11.4,,233,,179.1,,245.7,,91.9,,87.9,,65.1,,52.7,
2010 M09,1812.6,,962.8,,391.7,,1420.9,,61.5,,1514.3,,111.7,,482.5,,539.5,,11.5,,295.4,,217.4,,283.0,,115.3,,99.0,,70.4,,53.0,
2010 M10,1818.6,,965.7,,387.8,,1430.9,,60.6,,1522.2,,111.8,,482.2,,.,,11.5,,283.1,,226.5,,277.1,,107.1,,88.8,,66.2,,43.2,
2010 M11,1858.3,,979.0,,388.7,,1469.6,,60.3,,1553.8,,114.0,,491.7,,.,,11.7,,263.1,,217.2,,223.0,,92.4,,61.3,,50.0,,35.1,
2010 M12,1954.7,,1014.8,,405.1,,1549.6,,61.2,,1628.1,,122.6,,516.1,,568.7,,12.4,,296.7,,259.0,,200.2,,89.9,,44.8,,38.2,,23.5,
2011 M01,2105,,1080.5,,427.9,,1677.1,,63.2,,1745.0,,137.1,,551.6,,.,,13.1,,302.6,,250.8,,152.3,,70.8,,46.6,,37.4,,29.0,
2011 M02,2150.2,,1097.9,,436.7,,1713.5,,62.5,,1789.1,,143.1,,565.9,,.,,13.4,,212.6,,172.5,,167.4,,76.7,,50.7,,39.4,,34.5,
2011 M03,2133.9,,1093.7,,433.0,,1700.9,,62.5,,1783.7,,142.8,,630.7,,620.3,,13.3,,218.9,,178.5,,235.2,,106.5,,83.2,,61.0,,47.7,
2011 M04,2043.5,,1060.5,,411.5,,1632.0,,61.5,,1712.9,,124.7,,619.1,,.,,12.8,,169.6,,139.7,,260.0,,121.9,,78.4,,56.6,,44.1,
2011 M05,1962.6,,1034.2,,402.2,,1560.4,,60.1,,1647.2,,90.5,,600.8,,.,,12.4,,174.4,,127.6,,255.4,,110.3,,76.3,,61.5,,48.0,
