Unnamed: 0,"do 30 roku życia
below 30 years",Unnamed: 2,"do 25 roku życia
below 25 years",Unnamed: 4,"powyżej 50 roku życia
over 50 years",Unnamed: 6,"Długotrwale bezrobotni
Long-term unemployed",Unnamed: 8,"Osoby korzystające ze świadczeń pomocy społecznej
Unemployed persons benefiting from social assistance",Unnamed: 10,"Osoby posiadające co najmniej jedno dziecko do 6 roku życia
Unemployed persons with at least one child under 6 years of age",Unnamed: 12,"Osoby posiadające co najmniej jedno dziecko niepełnosprawne do 18 roku życia
Unemployed persons with at least one disabled child under 18 years of age",Unnamed: 14,"Niepełnosprawni
Disabled",Unnamed: 16
,tysiące     thousand,,,,,,,,,,,,,,,
2010 M01,.,,463.2,,419.4,,826.6,,.,,.,,.,,99.5,
2010 M02,.,,468.9,,428.9,,843.6,,.,,.,,.,,101.1,
2010 M03,.,,451.8,,428.6,,843.8,,.,,.,,.,,101.3,
2010 M04,.,,416.0,,414.2,,823.8,,.,,.,,.,,98.9,
2010 M05,.,,408.1,,403.8,,810.2,,.,,.,,.,,97.0,
2010 M06,.,,392.0,,395.1,,799.6,,.,,.,,.,,95.2,
2010 M07,.,,386.4,,388.5,,798.6,,.,,.,,.,,94.1,
2010 M08,.,,386.3,,383.9,,803.8,,.,,.,,.,,94.1,
2010 M09,.,,407.6,,381.7,,815.0,,.,,.,,.,,94.6,
2010 M10,.,,404.3,,386.3,,831.1,,.,,.,,.,,95.0,
2010 M11,.,,407.4,,398.0,,858.6,,.,,.,,.,,96.5,
2010 M12,.,,428.3,,421.7,,906.3,,.,,.,,.,,100.3,
2011 M01,.,,466.4,,447.8,,967.7,,.,,.,,.,,105.3,
2011 M02,.,,477.6,,454.6,,994.6,,.,,.,,.,,106.2,
2011 M03,.,,469.3,,453.9,,997.6,,.,,.,,.,,106.2,
2011 M04,.,,436.9,,441.8,,981.0,,.,,.,,.,,103.4,
2011 M05,.,,417.3,,428.7,,960.2,,.,,.,,.,,100.6,
2011 M06,.,,393.2,,417.6,,938.7,,.,,.,,.,,98.2,
2011 M07,.,,387.9,,413.4,,936.3,,.,,.,,.,,97.7,
