"Okresy 
Periods","ogółem
grand total",Unnamed: 2,"Pracujący w pełnym wymiarze czasu pracy
Persons employed on full-time",Unnamed: 4,"Pracujący w sektorze prywatnym
Persons employed in private sector",Unnamed: 6,"zatrudnieni razem
total employees",Unnamed: 8,"zatrudnieni w sektorze prywatnym
employees in private sector",Unnamed: 10,"pracujący na własny rachunek
own-account workers",Unnamed: 12,"pracodawcy
employers",Unnamed: 14,"pomagający członkowie rodzin
contributing family workers",Unnamed: 16
,tysiące   thousand,,,,,,,,,,,,,,,
2010 Q1,14640,,.,,.,,.,,.,,.,,.,,.,
2010 Q2,14905,,.,,.,,.,,.,,.,,.,,.,
2010 Q3,15069,,.,,.,,.,,.,,.,,.,,.,
2010 Q4,14978,,.,,.,,.,,.,,.,,.,,.,
2011 Q1,14821,,.,,.,,.,,.,,.,,.,,.,
2011 Q2,15041,,.,,.,,.,,.,,.,,.,,.,
2011 Q3,15123,,.,,.,,.,,.,,.,,.,,.,
2011 Q4,15070,,.,,.,,.,,.,,.,,.,,.,
2012 Q1,14924,,.,,.,,.,,.,,.,,.,,.,
2012 Q2,15133,,.,,.,,.,,.,,.,,.,,.,
2012 Q3,15194,,.,,.,,.,,.,,.,,.,,.,
2012 Q4,15153,,.,,.,,.,,.,,.,,.,,.,
2013 Q1,14861,,.,,.,,.,,.,,.,,.,,.,
2013 Q2,15064,,.,,.,,.,,.,,.,,.,,.,
2013 Q3,15264,,.,,.,,.,,.,,.,,.,,.,
2013 Q4,15251,,.,,.,,.,,.,,.,,.,,.,
2014 Q1,15140,,.,,.,,.,,.,,.,,.,,.,
2014 Q2,15384,,.,,.,,.,,.,,.,,.,,.,
2014 Q3,15669,,.,,.,,.,,.,,.,,.,,.,
2014 Q4,15625,,.,,.,,.,,.,,.,,.,,.,
2015 Q1,15451,,.,,.,,.,,.,,.,,.,,.,
2015 Q2,15611,,.,,.,,.,,.,,.,,.,,.,
2015 Q3,15873,,.,,.,,.,,.,,.,,.,,.,
2015 Q4,15958,,.,,.,,.,,.,,.,,.,,.,
2016 Q1,15708,,.,,.,,.,,.,,.,,.,,.,
2016 Q2,15895,,.,,.,,.,,.,,.,,.,,.,
2016 Q3,15977,,.,,.,,.,,.,,.,,.,,.,
2016 Q4,16081,,.,,.,,.,,.,,.,,.,,.,
2017 Q1,16045,,.,,.,,.,,.,,.,,.,,.,
2017 Q2,16254,,.,,.,,.,,.,,.,,.,,.,
2017 Q3,16285,,.,,.,,.,,.,,.,,.,,.,
2017 Q4,16175,,.,,.,,.,,.,,.,,.,,.,
2018 Q1,16128,,.,,.,,.,,.,,.,,.,,.,
2018 Q2,16375,,.,,.,,.,,.,,.,,.,,.,
2018 Q3,16425,,.,,.,,.,,.,,.,,.,,.,
2018 Q4,16206,,.,,.,,.,,.,,.,,.,,.,
2019 Q1,16083,,.,,.,,.,,.,,.,,.,,.,
2019 Q2,16343,,.,,.,,.,,.,,.,,.,,.,
2019 Q3,16449,,.,,.,,.,,.,,.,,.,,.,
2019 Q4,16257,,.,,.,,.,,.,,.,,.,,.,
2020 Q1,16227,,.,,.,,.,,.,,.,,.,,.,
2020 Q2,16059,,.,,.,,.,,.,,.,,.,,.,
2020 Q3,16312,,.,,.,,.,,.,,.,,.,,.,
2020 Q4,16316,,.,,.,,.,,.,,.,,.,,.,
2021 Q1,16433,,15348,,12369,,13151,,9087,,3030,,633,,252,
2021 Q2,16597,,15541,,12478,,13361,,9243,,3035,,649,,201,
2021 Q3,16814,,15834,,12722,,13479,,9386,,3151,,705,,184,
2021 Q4,16780,,15795,,12763,,13491,,9474,,3112,,696,,177,
2022 Q1,16714,,15641,,12748,,13409,,9443,,3125,,657,,180,
2022 Q2,16770,,15633,,12744,,13379,,9353,,3185,,625,,206,
2022 Q3,16690,,15648,,12683,,13372,,9365,,3125,,651,,194,
