Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"z podatków pośrednich
indirect tax revenue",Unnamed: 4,"z podatku od towarów i usług (VAT)
Value added tax (VAT) revenue",Unnamed: 6,"z podatku akcyzowego
excise tax revenue",Unnamed: 8,"z podatku dochodowego od osób prawnych
corporate income tax revenue",Unnamed: 10,"z podatku dochodowego od osób fizycznych
personal 
income tax revenue",Unnamed: 12,"z podatku od niektórych instytucji finansowych
On certain financial institutions tax revenue",Unnamed: 14,"z dywidend i wpłyów z zysku
dividends and income from profit revenue",Unnamed: 16,"z wpłat z zysku Narodowego Banku Polskiego
payments from profit of the National Bank of Poland revenue",Unnamed: 18,"z wpłyów z cła 
receipts from customs duties revenue",Unnamed: 20,"dochody państwowych jednostek budżetowych i inne dochody niepodatkowe  
revenue of state budgetary units and other non-tax revenue  ",Unnamed: 22,"środki z Unii Europejskiej i innych źródeł niepodlegające zwrotowi  
non-returnable funds from the European Union and other sources",Unnamed: 24,"Ogółem
Grand total.1",Unnamed: 26,"ubezpieczenia społeczne
social security contributions",Unnamed: 28,"subwencja ogólna dla jednostek samorządu terytorialnego
general subsidy for local government units",Unnamed: 30,"wydatki bieżące jednostek budżetowych
current expenditure of budgetary units",Unnamed: 32,"wydatki majątkowe
property expenditure",Unnamed: 34,"obsługa długu Skarbu Państwa
State Treasure debt service",Unnamed: 36,"środki własne 
Unii Europejskiej European Union own resources",Unnamed: 38,"współfinansowanie projektów z udziałem środków Unii Europejskiej 
co-financing of projects with the participation of the European Union funds",Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,"miliony PLN
million PLN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 M01,22137.5,,17445.2,,13258.5,,4060.9,,366.8,,2638.2,, -   ,,502.5,, -   ,,103.2,,852.7,,1.5,,26916.7,,8258.2,,6322.2,,3296.9,,386.3,,2494.9,,1363.7,,1420.9,,-4779.2,,-4809.4,
2010 M01-02,38207.1,,28064.0,,20173.2,,7634.3,,1925.3,,5316.8,, -   ,,541.8,, -   ,,229.4,,1602.0,,72.8,,55042.7,,14968.9,,12645.4,,8373.0,,668.8,,4749.9,,3733.1,,2776.8,,-16835.6,,-1812.8,
2010 M01-03,57022.1,,39212.0,,26394.6,,12413.2,,5946.1,,7290.6,, -   ,,646.8,, -   ,,372.3,,2642.9,,228.8,,79729.7,,22650.4,,16291.2,,13095.3,,1299.9,,7097.6,,4363.5,,3749.5,,-22707.6,,8776.1,
2010 M01-04,79877.6,,54103.8,,36537.3,,17016.7,,7910.9,,11275.4,, -   ,,753.3,, -   ,,503.9,,4125.2,,295.9,,106834.6,,29453.5,,19942.4,,17655.9,,1830.6,,13606.7,,4957.2,,4448.5,,-26957.0,,12301.1,
2010 M01-05,96870.8,,66566.3,,44461.9,,21406.4,,8914.9,,13724.9,, -   ,,787.2,, -   ,,630.6,,4768.5,,341.4,,128917.0,,35183.5,,23596.6,,21836.1,,2480.1,,15574.1,,5849.0,,4972.0,,-32046.2,,10598.5,
2010 M01-06,114451.2,,79792.0,,52725.6,,26228.3,,8982.7,,15897.7,, -   ,,1001.1,, -   ,,767.1,,6227.1,,420.0,,151019.9,,42340.9,,27242.1,,25819.7,,3339.1,,16831.1,,6335.2,,5543.9,,-36568.7,,11454.1,
2010 M01-07,139685.2,,94870.2,,62918.6,,30986.9,,10669.9,,18607.9,, -   ,,1528.2,,3957.3,,904.2,,7073.0,,484.1,,174555.5,,49022.2,,30922.0,,29999.6,,4207.5,,19639.4,,7216.8,,6089.2,,-34870.3,,12421.4,
2010 M01-08,160144.3,,108872.8,,71670.3,,36107.5,,12456.3,,21693.0,, -   ,,1956.5,,3957.3,,1055.7,,7822.7,,512.4,,197120.2,,56479.2,,34642.9,,33833.5,,5106.1,,20867.7,,8153.9,,6667.9,,-36975.9,,12529.7,
2010 M01-09,181363.2,,122509.7,,80247.4,,41035.5,,14281.2,,24870.7,, -   ,,2478.5,,3957.3,,1212.6,,8955.6,,1052.6,,220898.7,,63328.4,,38293.2,,37745.3,,6103.1,,23561.6,,9213.8,,7247.2,,-39535.5,,13299.8,
